id,username,email,phone,firstName,lastName,gender,birth,status,interestCategory,PrioritizePrize,ConsiderRegisPrice,createdAt,updatedAt
1,uwaisnk,uwais@gmail.com,0896555634,Uwais,Naufal,Male,01/06/03,Mahasiswa,"teknologi dan inovasi, karya tulis",1,1,"15/12/23, 10:3:10 AM","15/12/23, 10:3:10 AM"
2,hanifamin,hanif@gmail.com,0838555372,Hanif,Amin,Male,02/05/01,Mahasiswa,"karya tulis, bisnis dan kewirausahaan",1,0,"15/12/23, 10:12:28 AM","15/12/23, 10:12:28 AM"
3,ahmadramadhan,ahmad@gmail.com,0853555275,Ahmad,Ramadhan,Male,06/03/02,Mahasiswa,"seni, programing",1,0,"15/12/23, 10:12:28 AM","15/12/23, 11:13:49 AM"
4,ajimatjanuar,ajimat@gmail.com,0853555926,Ajimat,Januar,Male,06/05/03,Mahasiswa,"olahraga, debat",1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
5,nilampratiwi,nilam@gmail.com,0838555392,Nilam,Pratiwi,Female,18/04/01,Mahasiswa,"teknologi dan inovasi, olimpiade bahasa inggris",1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
6,yulianauyainah,yuliana@gmail.com,0878555509,Yuliana,Uyainah,Female,02/03/02,Mahasiswa,teknologi dan inovasi,0,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
7,gatotprabowo,gatot@gmail.com,0878555052,Gatot,Prabowo,Male,20/06/03,Mahasiswa,bisnis dan kewirausahaan,0,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
8,solehgunarto,soleh@gmail.com,0838555874,Soleh,Gunarto,Male,13/07/01,Mahasiswa,"karya tulis, bisnis dan kewirausahaan",0,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
9,restuprastuti,restu@gmail.com,0858555823,Restu,Prastuti,Female,08/01/02,Mahasiswa,karya tulis,0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
10,cakrabuanawidodo,cakrabuana@gmail.com,0838555952,Cakrabuana,Widodo,Male,13/08/03,Mahasiswa,"karya tulis, seni",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
11,vanesahariyah,vanesa@gmail.com,0838555164,Vanesa,Hariyah,Female,23/08/01,Mahasiswa,"olimpiade bahasa inggris, bisnis dan kewirausahaan",1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
12,ichapratiwi,icha@gmail.com,0838555795,Icha,Pratiwi,Female,10/12/01,Mahasiswa,"teknologi dan inovasi, programing",0,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
13,septihartati,septi@gmail.com,0878555084,Septi,Hartati,Female,23/09/03,Mahasiswa,"teknologi dan inovasi, olimpiade bahasa inggris",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
14,marsudisitumorang,marsudi@gmail.com,0854555443,Marsudi,Situmorang,Male,01/09/03,Mahasiswa,"karya tulis, bisnis dan kewirausahaan",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
15,viktormarpaung,viktor@gmail.com,0857555453,Viktor,Marpaung,Male,07/05/01,Mahasiswa,"teknologi dan inovasi, karya tulis",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
16,novimelani,novi@gmail.com,0838555236,Novi,Melani,Female,06/06/02,Mahasiswa,teknologi dan inovasi,1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
17,piapuspita,pia@gmail.com,0854555605,Pia,Puspita,Female,31/07/03,Mahasiswa,"karya tulis, bisnis dan kewirausahaan",1,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
18,keziapratiwi,kezia@gmail.com,0899555204,Kezia,Pratiwi,Female,08/08/01,Mahasiswa,"karya tulis, seni",1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
19,luwarsaptono,luwar@gmail.com,0813555436,Luwar,Saptono,Male,24/12/01,Mahasiswa,"olimpiade bahasa inggris, bisnis dan kewirausahaan",1,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
20,gildasusanti,gilda@gmail.com,0898555650,Gilda,Susanti,Female,06/11/03,Mahasiswa,"karya tulis, seni",1,0,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
21,jarwisamosir,jarwi@gmail.com,0896555695,Jarwi,Samosir,Male,31/08/03,Mahasiswa,"karya tulis, seni",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
22,dindasuryatmi,dinda@gmail.com,0899555548,Dinda,Suryatmi,Female,08/08/01,Mahasiswa,"teknologi dan inovasi, programing",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
23,ulyaastuti,ulya@gmail.com,0898555391,Ulya,Astuti,Female,08/12/01,Mahasiswa,"teknologi dan inovasi, programing",0,1,"15/12/23, 11:13:54 AM","15/12/23, 11:13:54 AM"
24,farahmaryati,farah@gmail.com,0858555380,Farah,Maryati,Female,13/04/05,Mahasiswa,karya tulis,0,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
25,adikanugroho,adika@gmail.com,0896555605,Adika,Nugroho,Male,13/02/06,Siswa SMA,karya tulis,0,0,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
26,lutfanmaulana,lutfan@gmail.com,0878555821,Lutfan,Maulana,Male,21/08/06,Siswa SMA,"teknologi dan inovasi, olimpiade bahasa inggris",1,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
27,inautami,ina@gmail.com,0819555181,Ina,Utami,Female,27/01/05,Mahasiswa,olimpiade bahasa inggris,1,0,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
28,qorinasyidah,qori@gmail.com,0838555449,Qori,Nasyidah,Female,08/12/07,Siswa SMA,olimpiade bahasa inggris,1,0,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
29,dipawasita,dipa@gmail.com,0878555958,Dipa,Wasita,Male,12/12/06,Siswa SMA,"karya tulis, bisnis dan kewirausahaan",0,0,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
30,legawahutasoit,legawa@gmail.com,0854555555,Legawa,Hutasoit,Male,07/11/07,Siswa SMA,"karya tulis, bisnis dan kewirausahaan",0,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
31,ikaprastuti,ika@gmail.com,0896555108,Ika,Prastuti,Female,25/09/07,Siswa SMA,teknologi dan inovasi,1,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
32,rikalailasari,rika@gmail.com,0896555971,Rika,Lailasari,Female,22/04/06,Siswa SMA,bisnis dan kewirausahaan,0,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
33,tanianurdiyanti,tania@gmail.com,0899555747,Tania,Nurdiyanti,Female,04/06/01,Mahasiswa,"teknologi dan inovasi, programing",1,1,"15/12/23, 11:26:15 AM","15/12/23, 11:26:15 AM"
34,dewihariyah,dewi@gmail.com,0838555673,Dewi,Hariyah,Female,01/08/07,Siswa SMA,karya tulis,1,0,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
35,diahmandasari,diah@gmail.com,0878555653,Diah,Mandasari,Female,23/07/07,Siswa SMA,"karya tulis, seni",1,1,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
36,jamaliapurwanti,jamalia@gmail.com,0878555006,Jamalia,Purwanti,Female,05/05/06,Siswa SMA,"teknologi dan inovasi, olimpiade bahasa inggris",0,1,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
37,ifaprastuti,ifa@gmail.com,0858555812,Ifa,Prastuti,Female,12/06/08,Siswa SMA,teknologi dan inovasi,0,1,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
38,rainapadmasari,raina@gmail.com,0854555872,Raina,Padmasari,Female,04/03/08,Siswa SMA,"teknologi dan inovasi, bisnis dan kewirausahaan",0,0,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
39,sarahwidiastuti,sarah@gmail.com,0814555556,Sarah,Widiastuti,Female,05/09/07,Siswa SMA,"teknologi dan inovasi, bisnis dan kewirausahaan",1,0,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
40,ichakusmawati,ichak@gmail.com,0898555419,Icha,Kusmawati,Female,18/10/07,Siswa SMA,"programing, seni",1,1,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
41,salwaaryani,salwa@gmail.com,0878555635,Salwa,Aryani,Female,28/08/07,Siswa SMA,"programing, seni",1,0,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
42,restumaiyati,restum@gmail.com,0815555719,Restu,Maiyati,Female,24/09/06,Siswa SMA,"olimpiade bahasa inggris, bisnis dan kewirausahaan",1,0,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
43,tantrimaryati,tantri@gmail.com,0838555942,Tantri,Maryati,Female,12/09/05,Siswa SMA,"teknologi dan inovasi, bisnis dan kewirausahaan",0,1,"15/12/23, 6:7:49 PM","15/12/23, 6:7:49 PM"
44,gandiwibisono,gandi@gmail.com,0899555616,Gandi,Wibisono,Male,01/01/01,Pekerja,"teknologi dan inovasi, programing",1,0,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
45,rahmanirawan,rahman@gmail.com,0857555412,Rahman,Irawan,Male,21/11/00,Pekerja,"teknologi dan inovasi, programing",1,0,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
46,mumpunijailani,mumpuni@gmail.com,0898555443,Mumpuni,Jailani,Male,12/01/01,Pekerja,"teknologi dan inovasi, programing",0,1,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
47,tediadriansyah,tedi@gmail.com,0878555403,Tedi,Adriansyah,Male,13/04/01,Pekerja,"teknologi dan inovasi, karya tulis",0,1,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
48,darmajimaulana,darmaji@gmail.com,0898555333,Darmaji,Maulana,Male,14/11/01,Pekerja,"teknologi dan inovasi, bisnis dan kewirausahaan",1,1,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
49,akarsanamaheswara,akarsana@gmail.com,0899555166,Akarsana,Maheswara,Male,10/04/02,Mahasiswa,"teknologi dan inovasi, bisnis dan kewirausahaan",0,0,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
50,ibrahimardianto,ibrahim@gmail.com,0853555083,Ibrahim,Ardianto,Male,17/07/02,Mahasiswa,karya tulis,1,0,"15/12/23, 6:12:6 PM","15/12/23, 6:12:6 PM"
